index,GHO (CODE),GHO (DISPLAY),YEAR (CODE),AGEGROUP (CODE),SEX (CODE),Display Value,Numeric,Low,High
105,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,YEARS18-PLUS,FMLE,27.6 [16.9-40.7],27.6,16.9,40.7
928,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,YEARS18-PLUS,MLE,26.5 [15.0-39.6],26.5,15,39.6
3515,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1975,YEARS18-PLUS,BTSX,27.0 [19.1-35.7],27,19.1,35.7
501,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1975,YEARS18-PLUS,FMLE,33.7 [21.7-47.3],33.7,21.7,47.3
1303,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1975,YEARS18-PLUS,MLE,32.2 [19.1-46.2],32.2,19.1,46.2
2653,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1975,YEARS18-PLUS,BTSX,33.0 [24.2-42.4],33,24.2,42.4
129,BP_06,Mean systolic blood pressure (age-standardized estimate),1975,YEARS18-PLUS,FMLE,127.8 [118.0-137.4],127.8,118,137.4
533,BP_06,Mean systolic blood pressure (age-standardized estimate),1975,YEARS18-PLUS,MLE,126.1 [116.9-134.9],126.1,116.9,134.9
244,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1975,YEARS18-PLUS,BTSX,7.5 [4.4-11.6],7.5,4.4,11.6
254,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1975,YEARS18-PLUS,FMLE,6.7 [3.0-12.5],6.7,3,12.5
264,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1975,YEARS18-PLUS,MLE,8.3 [3.9-14.7],8.3,3.9,14.7
274,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1975,YEARS18-PLUS,BTSX,8.0 [4.8-12.1],8,4.8,12.1
284,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1975,YEARS18-PLUS,FMLE,7.4 [3.5-13.3],7.4,3.5,13.3
294,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1975,YEARS18-PLUS,MLE,8.6 [4.2-14.7],8.6,4.2,14.7
376,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1975,YEARS18-PLUS,MLE,33.4 [24.4-42.9],33.4,24.4,42.9
387,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1975,YEARS18-PLUS,FMLE,43.1 [33.7-52.9],43.1,33.7,52.9
398,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1975,YEARS18-PLUS,BTSX,38.1 [31.6-44.8],38.1,31.6,44.8
409,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1975,YEARS18-PLUS,BTSX,34.7 [28.6-41.1],34.7,28.6,41.1
1635,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1975,YEARS18-PLUS,FMLE,39.3 [30.4-48.8],39.3,30.4,48.8
1646,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1975,YEARS18-PLUS,MLE,30.7 [22.4-39.6],30.7,22.4,39.6
166,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1975,YEARS18-PLUS,BTSX,10.8 [7.3-15.0],10.8,7.3,15
179,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1975,YEARS18-PLUS,FMLE,16.2 [9.9-23.6],16.2,9.9,23.6
192,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1975,YEARS18-PLUS,MLE,5.9 [2.8-10.2],5.9,2.8,10.2
205,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1975,YEARS18-PLUS,BTSX,9.5 [6.4-13.3],9.5,6.4,13.3
218,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1975,YEARS18-PLUS,FMLE,14.3 [8.8-21.2],14.3,8.8,21.2
231,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1975,YEARS18-PLUS,MLE,5.3 [2.6-9.4],5.3,2.6,9.4
1514,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1975,YEARS18-PLUS,BTSX,24.8 [23.6-25.9],24.8,23.6,25.9
1524,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1975,YEARS18-PLUS,FMLE,25.5 [23.8-27.2],25.5,23.8,27.2
1534,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1975,YEARS18-PLUS,MLE,24.2 [22.6-25.8],24.2,22.6,25.8
1544,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS18-PLUS,BTSX,24.5 [23.4-25.6],24.5,23.4,25.6
1554,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS18-PLUS,FMLE,25.2 [23.6-26.8],25.2,23.6,26.8
1564,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS18-PLUS,MLE,24.0 [22.4-25.5],24,22.4,25.5
2297,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS05-19,BTSX,17.3 [15.9-18.7],17.25995,15.85962,18.71793
2309,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS05-09,BTSX,14.2 [12.7-15.6],14.15677,12.71776,15.64504
2321,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS10-19,BTSX,19.3 [17.9-20.7],19.30861,17.89408,20.7245
2332,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS05-19,FMLE,17.6 [15.6-19.6],17.56718,15.55738,19.56517
2343,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS05-09,FMLE,14.5 [12.5-16.5],14.47658,12.45064,16.52009
2354,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS10-19,FMLE,19.6 [17.6-21.6],19.63395,17.63749,21.62351
2365,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS05-19,MLE,17.0 [14.9-19.0],16.96547,14.86947,18.98359
2376,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS05-09,MLE,13.8 [11.7-15.9],13.84553,11.71763,15.90214
2387,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1975,YEARS10-19,MLE,19.0 [16.9-21.0],18.99988,16.92311,21.00632
2819,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS05-19,BTSX,11.4 [4.9-20.2],11.4,4.9,20.2
2830,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS05-09,BTSX,11.5 [4.7-20.7],11.5,4.7,20.7
2841,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS10-19,BTSX,11.3 [4.8-20.0],11.3,4.8,20
2852,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS05-19,FMLE,8.2 [1.6-20.0],8.2,1.6,20
2864,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS05-09,FMLE,9.0 [1.7-21.9],9,1.7,21.9
2876,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS10-19,FMLE,7.8 [1.5-18.9],7.8,1.5,18.9
2888,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS05-19,MLE,14.3 [4.4-28.4],14.3,4.4,28.4
2900,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS05-09,MLE,13.9 [3.9-28.8],13.9,3.9,28.8
2912,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1975,YEARS10-19,MLE,14.6 [4.5-28.6],14.6,4.5,28.6
1739,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS05-19,BTSX,7.1 [3.5-12.3],7.1,3.5,12.3
1749,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS05-09,BTSX,7.2 [3.3-12.9],7.2,3.3,12.9
1759,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS10-19,BTSX,7.1 [3.5-12.1],7.1,3.5,12.1
1770,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS05-19,FMLE,8.5 [3.3-16.6],8.5,3.3,16.6
1781,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS05-09,FMLE,8.4 [2.9-17.4],8.4,2.9,17.4
1792,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS10-19,FMLE,8.5 [3.3-16.6],8.5,3.3,16.6
1803,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS05-19,MLE,5.8 [1.7-13.2],5.8,1.7,13.2
1814,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS05-09,MLE,6.1 [1.7-13.9],6.1,1.7,13.9
1825,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1975,YEARS10-19,MLE,5.7 [1.6-12.7],5.7,1.6,12.7
2049,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS05-19,BTSX,1.3 [0.2-3.7],1.3,0.2,3.7
2059,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS05-09,BTSX,1.4 [0.2-4.4],1.4,0.2,4.4
2069,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS10-19,BTSX,1.1 [0.2-3.4],1.1,0.2,3.4
2759,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS05-19,FMLE,1.2 [0.1-4.4],1.2,0.1,4.4
2769,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS05-09,FMLE,1.4 [0.1-5.4],1.4,0.1,5.4
2779,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS10-19,FMLE,1.1 [0.1-4.0],1.1,0.1,4
2789,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS05-19,MLE,1.3 [0.1-5.1],1.3,0.1,5.1
2799,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS05-09,MLE,1.5 [0.1-5.9],1.5,0.1,5.9
2809,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1975,YEARS10-19,MLE,1.2 [0.1-4.7],1.2,0.1,4.7
520,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1976,YEARS18-PLUS,MLE,26.5 [15.7-38.8],26.5,15.7,38.8
1334,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1976,YEARS18-PLUS,FMLE,27.9 [17.8-40.1],27.9,17.8,40.1
3516,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1976,YEARS18-PLUS,BTSX,27.2 [19.7-35.4],27.2,19.7,35.4
916,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1976,YEARS18-PLUS,MLE,32.4 [20.0-45.5],32.4,20,45.5
924,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1976,YEARS18-PLUS,FMLE,34.0 [22.7-46.8],34,22.7,46.8
3132,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1976,YEARS18-PLUS,BTSX,33.3 [25.0-42.2],33.3,25,42.2
548,BP_06,Mean systolic blood pressure (age-standardized estimate),1976,YEARS18-PLUS,FMLE,128.0 [118.8-136.8],128,118.8,136.8
948,BP_06,Mean systolic blood pressure (age-standardized estimate),1976,YEARS18-PLUS,MLE,126.2 [117.6-134.4],126.2,117.6,134.4
641,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1976,YEARS18-PLUS,BTSX,7.2 [4.3-10.9],7.2,4.3,10.9
651,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1976,YEARS18-PLUS,FMLE,6.4 [2.9-11.6],6.4,2.9,11.6
661,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1976,YEARS18-PLUS,MLE,8.0 [3.9-13.9],8,3.9,13.9
671,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1976,YEARS18-PLUS,BTSX,7.7 [4.8-11.4],7.7,4.8,11.4
681,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1976,YEARS18-PLUS,FMLE,7.1 [3.4-12.4],7.1,3.4,12.4
691,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1976,YEARS18-PLUS,MLE,8.2 [4.2-13.9],8.2,4.2,13.9
377,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1976,YEARS18-PLUS,MLE,34.6 [26.0-43.6],34.6,26,43.6
388,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1976,YEARS18-PLUS,FMLE,44.5 [35.5-53.7],44.5,35.5,53.7
399,NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",1976,YEARS18-PLUS,BTSX,39.4 [33.1-45.7],39.4,33.1,45.7
1625,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1976,YEARS18-PLUS,BTSX,35.8 [30.1-41.9],35.8,30.1,41.9
1636,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1976,YEARS18-PLUS,FMLE,40.6 [32.2-49.6],40.6,32.2,49.6
1647,NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",1976,YEARS18-PLUS,MLE,31.8 [23.8-40.2],31.8,23.8,40.2
167,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1976,YEARS18-PLUS,BTSX,11.4 [7.9-15.6],11.4,7.9,15.6
180,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1976,YEARS18-PLUS,FMLE,17.1 [10.9-24.3],17.1,10.9,24.3
193,NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",1976,YEARS18-PLUS,MLE,6.3 [3.2-10.7],6.3,3.2,10.7
206,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1976,YEARS18-PLUS,BTSX,10.1 [7.0-13.8],10.1,7,13.8
219,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1976,YEARS18-PLUS,FMLE,15.1 [9.6-21.8],15.1,9.6,21.8
232,NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",1976,YEARS18-PLUS,MLE,5.8 [3.0-9.7],5.8,3,9.7
701,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1976,YEARS18-PLUS,BTSX,25.0 [23.9-26.0],25,23.9,26
713,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1976,YEARS18-PLUS,FMLE,25.7 [24.1-27.2],25.7,24.1,27.2
725,NCD_BMI_MEAN,Mean BMI (kg/m&#xb2;) (age-standardized estimate),1976,YEARS18-PLUS,MLE,24.3 [22.8-25.8],24.3,22.8,25.8
737,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS18-PLUS,BTSX,24.7 [23.7-25.7],24.7,23.7,25.7
749,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS18-PLUS,FMLE,25.4 [23.9-26.8],25.4,23.9,26.8
761,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS18-PLUS,MLE,24.1 [22.7-25.5],24.1,22.7,25.5
2298,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS05-19,BTSX,17.3 [16.0-18.6],17.29928,15.97037,18.6293
2310,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS05-09,BTSX,14.2 [12.9-15.6],14.21787,12.85799,15.6016
2322,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS10-19,BTSX,19.4 [18.1-20.7],19.36942,18.05064,20.68813
2333,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS05-19,FMLE,17.6 [15.7-19.5],17.61729,15.7246,19.51863
2344,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS05-09,FMLE,14.5 [12.6-16.5],14.5497,12.63342,16.48344
2355,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS10-19,FMLE,19.7 [17.8-21.6],19.70838,17.83112,21.58515
2366,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS05-19,MLE,17.0 [15.0-18.9],16.99418,15.03412,18.86279
2377,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS05-09,MLE,13.9 [11.9-15.8],13.89401,11.91134,15.78971
2388,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1976,YEARS10-19,MLE,19.0 [17.1-20.9],19.04793,17.1133,20.90695
3042,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS05-19,BTSX,11.1 [4.9-19.3],11.1,4.9,19.3
3052,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS05-09,BTSX,11.2 [4.8-19.9],11.2,4.8,19.9
3062,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS10-19,BTSX,11.0 [4.9-19.2],11,4.9,19.2
3072,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS05-19,FMLE,8.0 [1.7-19.0],8,1.7,19
3082,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS05-09,FMLE,8.7 [1.8-20.9],8.7,1.8,20.9
3092,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS10-19,FMLE,7.5 [1.6-17.9],7.5,1.6,17.9
3102,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS05-19,MLE,14.0 [4.6-27.3],14,4.6,27.3
3112,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS05-09,MLE,13.6 [4.1-27.7],13.6,4.1,27.7
3122,NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",1976,YEARS10-19,MLE,14.3 [4.7-27.5],14.3,4.7,27.5
1740,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS05-19,BTSX,7.7 [4.1-12.9],7.7,4.1,12.9
1750,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS05-09,BTSX,7.8 [3.8-13.5],7.8,3.8,13.5
1760,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS10-19,BTSX,7.7 [4.0-12.7],7.7,4,12.7
1771,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS05-19,FMLE,9.2 [3.8-17.1],9.2,3.8,17.1
1782,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS05-09,FMLE,9.1 [3.4-18.1],9.1,3.4,18.1
1793,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS10-19,FMLE,9.2 [3.9-17.1],9.2,3.9,17.1
1804,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS05-19,MLE,6.4 [2.0-13.6],6.4,2,13.6
1815,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS05-09,MLE,6.7 [2.0-14.5],6.7,2,14.5
1826,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",1976,YEARS10-19,MLE,6.2 [1.9-13.2],6.2,1.9,13.2
2284,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS05-19,BTSX,1.4 [0.3-4.0],1.4,0.3,4
2295,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS05-09,BTSX,1.6 [0.3-4.7],1.6,0.3,4.7
2971,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS10-19,BTSX,1.3 [0.3-3.6],1.3,0.3,3.6
2982,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS05-19,FMLE,1.4 [0.1-4.7],1.4,0.1,4.7
2992,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS05-09,FMLE,1.6 [0.1-5.8],1.6,0.1,5.8
3002,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS10-19,FMLE,1.2 [0.1-4.3],1.2,0.1,4.3
3012,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS05-19,MLE,1.5 [0.1-5.4],1.5,0.1,5.4
3022,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS05-09,MLE,1.7 [0.1-6.2],1.7,0.1,6.2
3032,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",1976,YEARS10-19,MLE,1.3 [0.1-4.9],1.3,0.1,4.9
1331,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1977,YEARS18-PLUS,MLE,26.6 [16.2-38.0],26.6,16.2,38
1342,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1977,YEARS18-PLUS,FMLE,28.2 [18.5-39.7],28.2,18.5,39.7
3517,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),1977,YEARS18-PLUS,BTSX,27.3 [20.1-35.1],27.3,20.1,35.1
489,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1977,YEARS18-PLUS,MLE,32.6 [20.8-44.9],32.6,20.8,44.9
505,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1977,YEARS18-PLUS,FMLE,34.2 [23.5-46.3],34.2,23.5,46.3
2924,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),1977,YEARS18-PLUS,BTSX,33.5 [25.6-42.0],33.5,25.6,42
1351,BP_06,Mean systolic blood pressure (age-standardized estimate),1977,YEARS18-PLUS,MLE,126.3 [118.3-134.0],126.3,118.3,134
1365,BP_06,Mean systolic blood pressure (age-standardized estimate),1977,YEARS18-PLUS,FMLE,128.1 [119.7-136.4],128.1,119.7,136.4
1454,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1977,YEARS18-PLUS,BTSX,6.8 [4.2-10.3],6.8,4.2,10.3
1464,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1977,YEARS18-PLUS,FMLE,6.1 [2.9-10.9],6.1,2.9,10.9
1474,NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18.5 (age-standardized estimate) (%)",1977,YEARS18-PLUS,MLE,7.6 [3.9-13.1],7.6,3.9,13.1
1484,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1977,YEARS18-PLUS,BTSX,7.4 [4.7-10.8],7.4,4.7,10.8
1494,NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18.5 (crude estimate) (%)",1977,YEARS18-PLUS,FMLE,6.8 [3.4-11.6],6.8,3.4,11.6
